throttle,steering,speed,points,position,direction
1.0,0.0,80.20364379882812,"[{'x': 30579.96664977553, 'y': 28262.89638539253, 'z': 0.0}, {'x': 29401.92930436614, 'y': 29440.933730801924, 'z': 0.0}, {'x': 28223.891958956745, 'y': 30618.971076211317, 'z': 0.0}, {'x': 28223.891958956745, 'y': 31797.00842162071, 'z': 0.0}, {'x': 28223.891958956745, 'y': 32975.045767030104, 'z': 0.0}, {'x': 28223.891958956745, 'y': 33564.0644397348, 'z': 0.0}, {'x': 28223.891958956745, 'y': 34153.0831124395, 'z': 0.0}, {'x': 27634.87328625205, 'y': 34742.101785144194, 'z': 0.0}, {'x': 27045.85461354735, 'y': 35331.12045784889, 'z': 0.0}, {'x': 26456.835940842655, 'y': 35920.13913055359, 'z': 0.0}, {'x': 25867.81726813796, 'y': 36509.157803258284, 'z': 0.0}]","{'x': 30844.713967660136, 'y': 27862.38593244389, 'z': 31.593637730053935}","{'x': -0.5912152101576047, 'y': 0.8065060716010521, 'z': 0.0035400210363661006}"
1.0,0.0,80.1145248413086,"[{'x': 30579.96664977553, 'y': 28262.89638539253, 'z': 0.0}, {'x': 29401.92930436614, 'y': 29440.933730801924, 'z': 0.0}, {'x': 28223.891958956745, 'y': 30618.971076211317, 'z': 0.0}, {'x': 28223.891958956745, 'y': 31797.00842162071, 'z': 0.0}, {'x': 28223.891958956745, 'y': 32975.045767030104, 'z': 0.0}, {'x': 28223.891958956745, 'y': 33564.0644397348, 'z': 0.0}, {'x': 28223.891958956745, 'y': 34153.0831124395, 'z': 0.0}, {'x': 27634.87328625205, 'y': 34742.101785144194, 'z': 0.0}, {'x': 27045.85461354735, 'y': 35331.12045784889, 'z': 0.0}, {'x': 26456.835940842655, 'y': 35920.13913055359, 'z': 0.0}, {'x': 25867.81726813796, 'y': 36509.157803258284, 'z': 0.0}]","{'x': 30833.74828400002, 'y': 27877.34385585069, 'z': 31.5962852762843}","{'x': -0.5912146087055954, 'y': 0.806506168997421, 'z': 0.003617433094365711}"
1.0,0.0,80.10356140136719,"[{'x': 30579.96664977553, 'y': 28262.89638539253, 'z': 0.0}, {'x': 29401.92930436614, 'y': 29440.933730801924, 'z': 0.0}, {'x': 28223.891958956745, 'y': 30618.971076211317, 'z': 0.0}, {'x': 28223.891958956745, 'y': 31797.00842162071, 'z': 0.0}, {'x': 28223.891958956745, 'y': 32975.045767030104, 'z': 0.0}, {'x': 28223.891958956745, 'y': 33564.0644397348, 'z': 0.0}, {'x': 28223.891958956745, 'y': 34153.0831124395, 'z': 0.0}, {'x': 27634.87328625205, 'y': 34742.101785144194, 'z': 0.0}, {'x': 27045.85461354735, 'y': 35331.12045784889, 'z': 0.0}, {'x': 26456.835940842655, 'y': 35920.13913055359, 'z': 0.0}, {'x': 25867.81726813796, 'y': 36509.157803258284, 'z': 0.0}]","{'x': 30822.78230741604, 'y': 27892.30247528479, 'z': 31.59928815614409}","{'x': -0.5912139574876911, 'y': 0.8065060310714603, 'z': 0.00375210835423995}"
1.0,0.0,80.09430694580078,"[{'x': 30579.96664977553, 'y': 28262.89638539253, 'z': 0.0}, {'x': 29401.92930436614, 'y': 29440.933730801924, 'z': 0.0}, {'x': 28223.891958956745, 'y': 30618.971076211317, 'z': 0.0}, {'x': 28223.891958956745, 'y': 31797.00842162071, 'z': 0.0}, {'x': 28223.891958956745, 'y': 32975.045767030104, 'z': 0.0}, {'x': 28223.891958956745, 'y': 33564.0644397348, 'z': 0.0}, {'x': 28223.891958956745, 'y': 34153.0831124395, 'z': 0.0}, {'x': 27634.87328625205, 'y': 34742.101785144194, 'z': 0.0}, {'x': 27045.85461354735, 'y': 35331.12045784889, 'z': 0.0}, {'x': 26456.835940842655, 'y': 35920.13913055359, 'z': 0.0}, {'x': 25867.81726813796, 'y': 36509.157803258284, 'z': 0.0}]","{'x': 30811.816238371564, 'y': 27907.26150351342, 'z': 31.602502748177784}","{'x': -0.5912132734137221, 'y': 0.8065056945686602, 'z': 0.003928099763720141}"
1.0,0.0,80.08794403076172,"[{'x': 30579.96664977553, 'y': 28262.89638539253, 'z': 0.0}, {'x': 29401.92930436614, 'y': 29440.933730801924, 'z': 0.0}, {'x': 28223.891958956745, 'y': 30618.971076211317, 'z': 0.0}, {'x': 28223.891958956745, 'y': 31797.00842162071, 'z': 0.0}, {'x': 28223.891958956745, 'y': 32975.045767030104, 'z': 0.0}, {'x': 28223.891958956745, 'y': 33564.0644397348, 'z': 0.0}, {'x': 28223.891958956745, 'y': 34153.0831124395, 'z': 0.0}, {'x': 27634.87328625205, 'y': 34742.101785144194, 'z': 0.0}, {'x': 27045.85461354735, 'y': 35331.12045784889, 'z': 0.0}, {'x': 26456.835940842655, 'y': 35920.13913055359, 'z': 0.0}, {'x': 25867.81726813796, 'y': 36509.157803258284, 'z': 0.0}]","{'x': 30800.84974195334, 'y': 27922.22138288725, 'z': 31.605824007464207}","{'x': -0.5912125690946641, 'y': 0.8065051857194246, 'z': 0.004133225394484701}"
1.0,0.0,80.08563232421875,"[{'x': 30579.96664977553, 'y': 28262.89638539253, 'z': 0.0}, {'x': 29401.92930436614, 'y': 29440.933730801924, 'z': 0.0}, {'x': 28223.891958956745, 'y': 30618.971076211317, 'z': 0.0}, {'x': 28223.891958956745, 'y': 31797.00842162071, 'z': 0.0}, {'x': 28223.891958956745, 'y': 32975.045767030104, 'z': 0.0}, {'x': 28223.891958956745, 'y': 33564.0644397348, 'z': 0.0}, {'x': 28223.891958956745, 'y': 34153.0831124395, 'z': 0.0}, {'x': 27634.87328625205, 'y': 34742.101785144194, 'z': 0.0}, {'x': 27045.85461354735, 'y': 35331.12045784889, 'z': 0.0}, {'x': 26456.835940842655, 'y': 35920.13913055359, 'z': 0.0}, {'x': 25867.81726813796, 'y': 36509.157803258284, 'z': 0.0}]","{'x': 30789.88222809191, 'y': 27937.18290324295, 'z': 31.609178478220073}","{'x': -0.5912118541752185, 'y': 0.8065045236173003, 'z': 0.004358539609795228}"
1.0,0.0,80.08853912353516,"[{'x': 30579.96664977553, 'y': 28262.89638539253, 'z': 0.0}, {'x': 29401.92930436614, 'y': 29440.933730801924, 'z': 0.0}, {'x': 28223.891958956745, 'y': 30618.971076211317, 'z': 0.0}, {'x': 28223.891958956745, 'y': 31797.00842162071, 'z': 0.0}, {'x': 28223.891958956745, 'y': 32975.045767030104, 'z': 0.0}, {'x': 28223.891958956745, 'y': 33564.0644397348, 'z': 0.0}, {'x': 28223.891958956745, 'y': 34153.0831124395, 'z': 0.0}, {'x': 27634.87328625205, 'y': 34742.101785144194, 'z': 0.0}, {'x': 27045.85461354735, 'y': 35331.12045784889, 'z': 0.0}, {'x': 26456.835940842655, 'y': 35920.13913055359, 'z': 0.0}, {'x': 25867.81726813796, 'y': 36509.157803258284, 'z': 0.0}]","{'x': 30778.913131232894, 'y': 27952.146820528284, 'z': 31.612518102049705}","{'x': -0.5912111355962568, 'y': 0.8065037217347867, 'z': 0.004597822845731661}"
1.0,0.0,80.09783172607422,"[{'x': 30579.96664977553, 'y': 28262.89638539253, 'z': 0.0}, {'x': 29401.92930436614, 'y': 29440.933730801924, 'z': 0.0}, {'x': 28223.891958956745, 'y': 30618.971076211317, 'z': 0.0}, {'x': 28223.891958956745, 'y': 31797.00842162071, 'z': 0.0}, {'x': 28223.891958956745, 'y': 32975.045767030104, 'z': 0.0}, {'x': 28223.891958956745, 'y': 33564.0644397348, 'z': 0.0}, {'x': 28223.891958956745, 'y': 34153.0831124395, 'z': 0.0}, {'x': 27634.87328625205, 'y': 34742.101785144194, 'z': 0.0}, {'x': 27045.85461354735, 'y': 35331.12045784889, 'z': 0.0}, {'x': 26456.835940842655, 'y': 35920.13913055359, 'z': 0.0}, {'x': 25867.81726813796, 'y': 36509.157803258284, 'z': 0.0}]","{'x': 30767.941659543794, 'y': 27967.114198992957, 'z': 31.615815041853104}","{'x': -0.5912104173963044, 'y': 0.8065027884677964, 'z': 0.0048471182938801104}"
1.0,0.0,80.11466217041016,"[{'x': 30579.96664977553, 'y': 28262.89638539253, 'z': 0.0}, {'x': 29401.92930436614, 'y': 29440.933730801924, 'z': 0.0}, {'x': 28223.891958956745, 'y': 30618.971076211317, 'z': 0.0}, {'x': 28223.891958956745, 'y': 31797.00842162071, 'z': 0.0}, {'x': 28223.891958956745, 'y': 32975.045767030104, 'z': 0.0}, {'x': 28223.891958956745, 'y': 33564.0644397348, 'z': 0.0}, {'x': 28223.891958956745, 'y': 34153.0831124395, 'z': 0.0}, {'x': 27634.87328625205, 'y': 34742.101785144194, 'z': 0.0}, {'x': 27045.85461354735, 'y': 35331.12045784889, 'z': 0.0}, {'x': 26456.835940842655, 'y': 35920.13913055359, 'z': 0.0}, {'x': 25867.81726813796, 'y': 36509.157803258284, 'z': 0.0}]","{'x': 30756.96654261932, 'y': 27982.086755519325, 'z': 31.619057329907854}","{'x': -0.5912097004401526, 'y': 0.8065017272750687, 'z': 0.005104312666095744}"
1.0,0.0,80.14019775390625,"[{'x': 30579.96664977553, 'y': 28262.89638539253, 'z': 0.0}, {'x': 29401.92930436614, 'y': 29440.933730801924, 'z': 0.0}, {'x': 28223.891958956745, 'y': 30618.971076211317, 'z': 0.0}, {'x': 28223.891958956745, 'y': 31797.00842162071, 'z': 0.0}, {'x': 28223.891958956745, 'y': 32975.045767030104, 'z': 0.0}, {'x': 28223.891958956745, 'y': 33564.0644397348, 'z': 0.0}, {'x': 28223.891958956745, 'y': 34153.0831124395, 'z': 0.0}, {'x': 27634.87328625205, 'y': 34742.101785144194, 'z': 0.0}, {'x': 27045.85461354735, 'y': 35331.12045784889, 'z': 0.0}, {'x': 26456.835940842655, 'y': 35920.13913055359, 'z': 0.0}, {'x': 25867.81726813796, 'y': 36509.157803258284, 'z': 0.0}]","{'x': 30745.986307426763, 'y': 27997.066483312494, 'z': 31.622244990961264}","{'x': -0.5912089822797599, 'y': 0.8065005367708407, 'z': 0.005368748464392173}"
