throttle,steering,speed,points,position,direction
1.0,0.0,0.0,"[{'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -535.9978560596844, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -1061.995807686462, 'z': -9.928618607054256}, {'x': 476.99362075808415, 'y': -1587.99375931324, 'z': -9.928618607054256}, {'x': 1002.9915723848618, 'y': -2113.9917109400176, 'z': -9.928618607054256}, {'x': 1528.9895240116393, 'y': -2639.9896625667952, 'z': -9.928618607054256}, {'x': 2054.987475638417, 'y': -3165.987614193573, 'z': -9.928618607054256}, {'x': 2580.9854272651946, 'y': -3691.9855658203505, 'z': -9.928618607054256}, {'x': 3106.9833788919723, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 3632.98133051875, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 4158.979282145528, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 6262.971088652637, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 8366.962895159748, 'y': -4217.983517447128, 'z': 0.0}, {'x': -4256.987943882916, 'y': -9.999904432908806, 'z': 0.0}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}]","{'x': 0.21128150564411344, 'y': -0.31491793545519897, 'z': 21.185096273233334}","{'x': 8.235672735668054e-05, 'y': -0.9999986663012318, 'z': 0.0016311385984861006}"
1.0,0.0,0.0,"[{'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -535.9978560596844, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -1061.995807686462, 'z': -9.928618607054256}, {'x': 476.99362075808415, 'y': -1587.99375931324, 'z': -9.928618607054256}, {'x': 1002.9915723848618, 'y': -2113.9917109400176, 'z': -9.928618607054256}, {'x': 1528.9895240116393, 'y': -2639.9896625667952, 'z': -9.928618607054256}, {'x': 2054.987475638417, 'y': -3165.987614193573, 'z': -9.928618607054256}, {'x': 2580.9854272651946, 'y': -3691.9855658203505, 'z': -9.928618607054256}, {'x': 3106.9833788919723, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 3632.98133051875, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 4158.979282145528, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 6262.971088652637, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 8366.962895159748, 'y': -4217.983517447128, 'z': 0.0}, {'x': -4256.987943882916, 'y': -9.999904432908806, 'z': 0.0}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}]","{'x': 0.2110450415168478, 'y': -0.3149931608423948, 'z': 21.195894473029107}","{'x': 8.239378305485712e-05, 'y': -0.9999986769164111, 'z': 0.0016246158599817029}"
1.0,0.0,0.001811247318983078,"[{'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -535.9978560596844, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -1061.995807686462, 'z': -9.928618607054256}, {'x': 476.99362075808415, 'y': -1587.99375931324, 'z': -9.928618607054256}, {'x': 1002.9915723848618, 'y': -2113.9917109400176, 'z': -9.928618607054256}, {'x': 1528.9895240116393, 'y': -2639.9896625667952, 'z': -9.928618607054256}, {'x': 2054.987475638417, 'y': -3165.987614193573, 'z': -9.928618607054256}, {'x': 2580.9854272651946, 'y': -3691.9855658203505, 'z': -9.928618607054256}, {'x': 3106.9833788919723, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 3632.98133051875, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 4158.979282145528, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 6262.971088652637, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 8366.962895159748, 'y': -4217.983517447128, 'z': 0.0}, {'x': -4256.987943882916, 'y': -9.999904432908806, 'z': 0.0}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}]","{'x': 0.21058249562507744, 'y': -0.31503108558285575, 'z': 21.2167195060417}","{'x': 8.245843862852986e-05, 'y': -0.9999986981415506, 'z': 0.0016114948990636187}"
1.0,0.0,0.0031479636672884226,"[{'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -535.9978560596844, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -1061.995807686462, 'z': -9.928618607054256}, {'x': 476.99362075808415, 'y': -1587.99375931324, 'z': -9.928618607054256}, {'x': 1002.9915723848618, 'y': -2113.9917109400176, 'z': -9.928618607054256}, {'x': 1528.9895240116393, 'y': -2639.9896625667952, 'z': -9.928618607054256}, {'x': 2054.987475638417, 'y': -3165.987614193573, 'z': -9.928618607054256}, {'x': 2580.9854272651946, 'y': -3691.9855658203505, 'z': -9.928618607054256}, {'x': 3106.9833788919723, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 3632.98133051875, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 4158.979282145528, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 6262.971088652637, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 8366.962895159748, 'y': -4217.983517447128, 'z': 0.0}, {'x': -4256.987943882916, 'y': -9.999904432908806, 'z': 0.0}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}]","{'x': 0.20990976306437578, 'y': -0.3149815543861392, 'z': 21.24678048080979}","{'x': 8.254327204926248e-05, 'y': -0.9999987292955905, 'z': 0.0015920407696854385}"
1.0,0.0,0.004202325362712145,"[{'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -535.9978560596844, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -1061.995807686462, 'z': -9.928618607054256}, {'x': 476.99362075808415, 'y': -1587.99375931324, 'z': -9.928618607054256}, {'x': 1002.9915723848618, 'y': -2113.9917109400176, 'z': -9.928618607054256}, {'x': 1528.9895240116393, 'y': -2639.9896625667952, 'z': -9.928618607054256}, {'x': 2054.987475638417, 'y': -3165.987614193573, 'z': -9.928618607054256}, {'x': 2580.9854272651946, 'y': -3691.9855658203505, 'z': -9.928618607054256}, {'x': 3106.9833788919723, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 3632.98133051875, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 4158.979282145528, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 6262.971088652637, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 8366.962895159748, 'y': -4217.983517447128, 'z': 0.0}, {'x': -4256.987943882916, 'y': -9.999904432908806, 'z': 0.0}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}]","{'x': 0.2090429320174835, 'y': -0.3148268857845835, 'z': 21.28524759874798}","{'x': 8.264233891308592e-05, 'y': -0.9999987693024193, 'z': 0.0015667047874796099}"
1.0,0.0,0.005074480548501015,"[{'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -535.9978560596844, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -1061.995807686462, 'z': -9.928618607054256}, {'x': 476.99362075808415, 'y': -1587.99375931324, 'z': -9.928618607054256}, {'x': 1002.9915723848618, 'y': -2113.9917109400176, 'z': -9.928618607054256}, {'x': 1528.9895240116393, 'y': -2639.9896625667952, 'z': -9.928618607054256}, {'x': 2054.987475638417, 'y': -3165.987614193573, 'z': -9.928618607054256}, {'x': 2580.9854272651946, 'y': -3691.9855658203505, 'z': -9.928618607054256}, {'x': 3106.9833788919723, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 3632.98133051875, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 4158.979282145528, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 6262.971088652637, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 8366.962895159748, 'y': -4217.983517447128, 'z': 0.0}, {'x': -4256.987943882916, 'y': -9.999904432908806, 'z': 0.0}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}]","{'x': 0.20799808533430159, 'y': -0.314566345917739, 'z': 21.33126589413711}","{'x': 8.275085601017196e-05, 'y': -0.9999988168805176, 'z': 0.0015360305536724563}"
1.0,0.0,0.005817313212901354,"[{'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -535.9978560596844, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -1061.995807686462, 'z': -9.928618607054256}, {'x': 476.99362075808415, 'y': -1587.99375931324, 'z': -9.928618607054256}, {'x': 1002.9915723848618, 'y': -2113.9917109400176, 'z': -9.928618607054256}, {'x': 1528.9895240116393, 'y': -2639.9896625667952, 'z': -9.928618607054256}, {'x': 2054.987475638417, 'y': -3165.987614193573, 'z': -9.928618607054256}, {'x': 2580.9854272651946, 'y': -3691.9855658203505, 'z': -9.928618607054256}, {'x': 3106.9833788919723, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 3632.98133051875, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 4158.979282145528, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 6262.971088652637, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 8366.962895159748, 'y': -4217.983517447128, 'z': 0.0}, {'x': -4256.987943882916, 'y': -9.999904432908806, 'z': 0.0}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}]","{'x': 0.20699735766343086, 'y': -0.31420792375107176, 'z': 21.38396667616221}","{'x': 8.300149071416296e-05, 'y': -0.9999988706497558, 'z': 0.0015006032009358457}"
1.0,0.0,0.006459234282374382,"[{'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -535.9978560596844, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -1061.995807686462, 'z': -9.928618607054256}, {'x': 476.99362075808415, 'y': -1587.99375931324, 'z': -9.928618607054256}, {'x': 1002.9915723848618, 'y': -2113.9917109400176, 'z': -9.928618607054256}, {'x': 1528.9895240116393, 'y': -2639.9896625667952, 'z': -9.928618607054256}, {'x': 2054.987475638417, 'y': -3165.987614193573, 'z': -9.928618607054256}, {'x': 2580.9854272651946, 'y': -3691.9855658203505, 'z': -9.928618607054256}, {'x': 3106.9833788919723, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 3632.98133051875, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 4158.979282145528, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 6262.971088652637, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 8366.962895159748, 'y': -4217.983517447128, 'z': 0.0}, {'x': -4256.987943882916, 'y': -9.999904432908806, 'z': 0.0}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}]","{'x': 0.20584932038637935, 'y': -0.31376407763033765, 'z': 21.44247242552212}","{'x': 8.322234469737566e-05, 'y': -0.9999989292385384, 'z': 0.0014610256050607156}"
1.0,0.0,0.007015876471996307,"[{'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -535.9978560596844, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -1061.995807686462, 'z': -9.928618607054256}, {'x': 476.99362075808415, 'y': -1587.99375931324, 'z': -9.928618607054256}, {'x': 1002.9915723848618, 'y': -2113.9917109400176, 'z': -9.928618607054256}, {'x': 1528.9895240116393, 'y': -2639.9896625667952, 'z': -9.928618607054256}, {'x': 2054.987475638417, 'y': -3165.987614193573, 'z': -9.928618607054256}, {'x': 2580.9854272651946, 'y': -3691.9855658203505, 'z': -9.928618607054256}, {'x': 3106.9833788919723, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 3632.98133051875, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 4158.979282145528, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 6262.971088652637, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 8366.962895159748, 'y': -4217.983517447128, 'z': 0.0}, {'x': -4256.987943882916, 'y': -9.999904432908806, 'z': 0.0}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}]","{'x': 0.20475257208311573, 'y': -0.3132493159811416, 'z': 21.505907376491997}","{'x': 8.350680447777314e-05, 'y': -0.9999989912909409, 'z': 0.0014179011653684724}"
1.0,0.0,0.007496350910514593,"[{'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -535.9978560596844, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -1061.995807686462, 'z': -9.928618607054256}, {'x': 476.99362075808415, 'y': -1587.99375931324, 'z': -9.928618607054256}, {'x': 1002.9915723848618, 'y': -2113.9917109400176, 'z': -9.928618607054256}, {'x': 1528.9895240116393, 'y': -2639.9896625667952, 'z': -9.928618607054256}, {'x': 2054.987475638417, 'y': -3165.987614193573, 'z': -9.928618607054256}, {'x': 2580.9854272651946, 'y': -3691.9855658203505, 'z': -9.928618607054256}, {'x': 3106.9833788919723, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 3632.98133051875, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 4158.979282145528, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 6262.971088652637, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 8366.962895159748, 'y': -4217.983517447128, 'z': 0.0}, {'x': -4256.987943882916, 'y': -9.999904432908806, 'z': 0.0}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}]","{'x': 0.20353992115697223, 'y': -0.3247408514628525, 'z': 21.573590305773806}","{'x': 8.378271240105928e-05, 'y': -0.9999989943327882, 'z': 0.0014157379243005383}"
1.0,0.0,0.05052398145198822,"[{'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -535.9978560596844, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -1061.995807686462, 'z': -9.928618607054256}, {'x': 476.99362075808415, 'y': -1587.99375931324, 'z': -9.928618607054256}, {'x': 1002.9915723848618, 'y': -2113.9917109400176, 'z': -9.928618607054256}, {'x': 1528.9895240116393, 'y': -2639.9896625667952, 'z': -9.928618607054256}, {'x': 2054.987475638417, 'y': -3165.987614193573, 'z': -9.928618607054256}, {'x': 2580.9854272651946, 'y': -3691.9855658203505, 'z': -9.928618607054256}, {'x': 3106.9833788919723, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 3632.98133051875, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 4158.979282145528, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 6262.971088652637, 'y': -4217.983517447128, 'z': -9.928618607054256}, {'x': 8366.962895159748, 'y': -4217.983517447128, 'z': 0.0}, {'x': -4256.987943882916, 'y': -9.999904432908806, 'z': 0.0}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}, {'x': -49.00433086869351, 'y': -9.99990443290678, 'z': -9.928618607054256}]","{'x': 0.2022262920125552, 'y': -0.34774871795061024, 'z': 21.644543096082934}","{'x': 8.405324896021416e-05, 'y': -0.999998955063675, 'z': 0.0014431931989659697}"
